entertainment n.娱乐（活动）；招待
invaluable adj.非常宝贵的，无价的
bachelor n.单身汉；学士
nurse n.护士，保姆
satisfy v.使满意；满足
spokesperson n.发言人
speak v.说话；交谈；提起；发言；说（某种语言）
gorgeous adj.非常漂亮的；令人愉悦的
soda n.苏打水；汽水
embed v.把…牢牢嵌入；埋置；派遣（随军记者）
guy n.男人；家伙
prevalent adj.流行的，盛行的，普遍的
variable adj.易变的，多变的
wander v.漫步于；徘徊；走神；偏离（正道）
brick n.砖块；积木
merchant n.商人；批发商
hold v.拿着；抓住；举行；容纳；认为；（使）保持
sector n.部门，领域；区域
alongside prep.同时；与…一起；在…旁边
anguish n.极度痛苦
width n.宽度，广度；宽阔
spelling n.拼写，拼法
bit n.稍微，小量；一部分；比特
repay v.偿还，报偿；酬报，报答
outdoor adj.户外的
marginal adj.边缘的；不重要的；边际的；页边的
partly adv.一定程度上，部分地
figure n.数字；位数；人物；人影；身段；雕像；图表
charge n.费用；指控；掌管；指责；电荷；冲锋
moisture n.潮湿，湿气，湿度
enthusiastic adj.热情的，热心的
draft n.草稿；草案；汇票；征兵；风
ripe adj.成熟的；口味浓郁的；难闻的
huddle v.挤在一起；蜷缩成团
bracket n.括号；托架；等级
human adj.人的；人本性的；有人情味的
decide v.决定；裁决
cattle n.牛
evoke v.唤起；使人想起
cost n.费用；成本；代价，损失
electrical adj.与电有关的
foundation n.基础，根据；地基；基金会；粉底
creative adj.创造性的；想象力丰富的
solitary adj.单独的；喜欢独处的；仅有的
vision n.视力，视野；远见；幻想；构想
illustrate v.以图表说明；加插图，表明…存在
rough adj.粗糙的；粗暴的；艰难的；大致的
timber n.木料；林木
oppose v.反对，阻挠；抵抗
tolerance n.忍受，宽容；忍耐力
push v.推挤；推动；按（按钮等）；逼迫
overtake v.超过；突然降临
lad n.男孩；小伙子；伙伴
code n.密码；代码；法规；行为准则
bone n.骨头；鱼刺；骨质
summary n.总结；概括
sulfur n.硫；硫磺
distress n.痛苦，忧虑；窘困；遇难
sunrise n.日出，朝霞
Easter n.复活节
ice cream phrase.冰激凌
linguistic adj.语言（学）的
fur n.毛皮；毛皮大衣
report n.报告，报道；传闻；成绩单
ton n.吨；大量
spade n.铲子；黑桃（纸牌）
arrive v.到达；送达；发生；问世
whilst conj.当…时，与…同时；然而
safety n.平安；安全地方
periodical n.学术期刊
reach v.到达；增加到；实现；与…取得联系
idea n.主意；想法；概念；看法；意图
clutch v.紧握；突然抓住
instruction n.教授；指示；用法说明
airline n.航空公司
editor n.编辑，主编
threshold n.门槛，临界点，阈值
keen adj.渴望的，热衷的；思维敏捷的；敏锐的
milk n.奶；乳汁
certify v.证明，核实；给…颁发合格证书
hypocrisy n.伪善，虚伪
possession n.拥有，具有；个人财产，所有物
fame n.声誉，名望
accord v.赋予；授予；与…一致
dedicate v.致力于，献身；把（书等作品）献给
feeling n.感觉；感情；看法
butterfly n.蝴蝶；蝶泳
faulty adj.有缺陷的，有错误的
label n.标签，标记；（不恰当的）叫法；时装公司的名称（或商标）
dioxide n.二氧化物
preach v.布道；宣传；说教
nominate v.提名；指派，指定
slack adj.松弛的；萧条的；懈怠的
belt n.皮带；传送带；狭长地带
handwriting n.笔迹，书法；手写
tiresome adj.令人厌烦的，讨厌的
chairman n.主席；主持人；董事长
conductor n.指挥；售票员；导体
string n.绳，线；一系列；字符串
beer n.啤酒
concurrent adj.同时发生的；并存的
permanent adj.永久的，持久的
bury v.埋葬；覆盖；掩藏
render v.使变成…；给予；表达；翻译
flare v.烧旺；闪耀；加剧；愤怒地说；使鼻孔张开
member n.成员；会员；分子
portion n.部分；（食物的）一份
himself pron.他自己
definition n.定义；清晰度；确切描述
sale n.销售（量）；大减价
dry adj.干的，干旱的；枯燥乏味的
guest n.客人
comparative adj.比较的
vegetation n.植物，草木
sour adj.酸的；馊的；阴郁的
so adv.这么；这样；如此；很；极
reproach n.责备，指责
rehearse v.排练；默诵
textbook adj.规范的，标准的
jog v.（健身）慢跑；轻击，轻撞
setback n.倒退；挫折
bare adj.赤裸的；光秃秃的；空荡荡的；最基本的
civilian adj.平民的，民用的
break n.休息；间断；终止
anonymous adj.匿名的；无特色的
dean n.院长，系主任
under prep.在…下面；少于；由…控制；根据…；在…过程中
survey n.民意调查；测量，勘测；概述
pneumonia n.肺炎
shuttle n.航天飞机；往返航班（班车）；梭子
flower n.花，花朵
safe adj.安全的；不损害健康的；无危险的
hen n.母鸡；雌性家禽
naive adj.无经验的；幼稚的；天真的
air conditioning n.空调系统
transition n.过渡，转变，变迁
wheel n.车轮，轮子；齿轮；方向盘
bicycle n.自行车
grind v.磨碎；碾压；磨锋利；摩擦（发出刺耳声）
pollution n.污染（物）
denote v.象征，预示；表示
mandate n.授权（令）；任期；命令
away adv.离开（某距离）；去别处；不在；持续的；直到完全消失；在客场（比赛）
index n.索引；指标；标志；指数
revolutionary adj.革命的；革新的
nowadays adv.现在；现今；目前
album n.专辑；集邮册；相册
awe n.敬畏，惊叹
clock n.时钟；里程表；考勤机
memorial n.纪念碑；纪念物；纪念馆
dial n.刻度盘；拨号盘
cashier n.收银员，出纳员
input n.输入；投入（资源等）；输入的信息
supply n.补给；供应量
beyond adv.在另一边；在更远处
sob v.哭泣，呜咽；哭诉
sex n.性；性别；性行为
fierce adj.凶猛的；猛烈的；强烈的
spell n.咒语；魔力；一段时间
fasten v.系牢；关紧；固定
spiritual adj.精神的，心灵的；宗教的
market n.市场
depart v.离开，出发；离职
polite adj.有礼貌的；客套的
deputy n.副手；代理人；警官
degenerate v.退化；堕落；恶化
media n.媒体，传播媒介
request n.请求；要求的事
socialism n.社会主义
fertilizer n.肥料
aeroplane n.飞机
hurl v.用力投掷；大声叫骂
widespread adj.广泛的；普遍的
barely adv.仅仅，勉强；几乎不；刚好
stamp n.邮票；章；印记
meantime n.其间，其时；暂时
responsibility n.责任，职责；独立承担责任的机会
sunset n.日落，傍晚；晚霞
problem n.难题；困难；棘手的问题
oak n.栎树，橡树；橡木
plane adj.平的，平坦的
button n.纽扣；按钮；徽章
misfortune n.不幸，灾祸
rich adj.富有的；富饶的；丰富的；油腻的；浓郁的；丰富多彩的
fisherman n.渔民，渔夫
bargain n.特价商品；协定；协议
refute v.反驳，驳斥
however adv.然而；无论如何
hot adj.热的；辣的；强烈的；走红的；性感的
planet n.行星；地球
textile n.纺织品；纺织业
preceding adj.在前的；在先的
whisky n.威士忌
whale n.鲸
operation n.手术；企业；运转；业务；行动
descent n.下降；斜坡；血统；沉沦
symptom n.症状；征兆
bandage n.绷带
rather adv.相当地；确切的说；稍微；反而
conviction n.定罪；坚定的信念；深信
work v.干活，工作；努力做某事；研究；起作用；运转；操作
temple n.庙宇，神殿；太阳穴
deficit n.赤字，逆差
carpet n.地毯；覆盖地面的东西
wicked adj.邪恶的；调皮的；有害的
withhold v.拒给；不给
result n.结果；成绩；答案；（研究）成果
cruel adj.残酷的；引起痛苦的
journal n.（专业）刊物；日志
orchard n.果园
massive adj.巨大的；大而重的；非常严重的
waterfall n.瀑布
leaflet n.宣传册；传单；嫩叶
oral adj.口头的；口腔的；口服的
programme n.计划；节目；程序
receipt n.发票；收据；收到
tremble v.颤抖；担心；焦虑；战栗
politician n.政治家，政客
rap n.说唱音乐；叩击
conceive v.想象，构想；怀孕
solemn adj.表情严肃的；庄重的
export v.出口；输出
whip n.鞭子
pierce v.刺破，穿透；（光线等）透入；突破
excessive adj.过多的，过分的
latitude n.纬度；（行为）自由
credential n.凭证；资格证书
injure v.伤害，损害
mentor n.导师，顾问
inland adv.向内陆；向内地
radiate v.（光、热等）放射；散发；向周围伸展
passenger n.旅客，乘客
liberty n.自由；冒犯的举动
humidity n.潮湿；湿度
fry v.油煎，油炸
message n.信息，留言；主旨
cellar n.地窖，地下室
sorry adj.难过的，惋惜的；同情的；歉疚的
liner n.班机；定期列车；邮轮； 眼线笔；衬里
tenant n.租户；房客
glimpse n.一瞥；短暂的感受
self n.自己
permission n.批准；许可证
light n.光；灯；打火机
ankle n.踝，踝关节
potato n.土豆
butter n.黄油，奶油
introduction n.介绍；采用；引进；导论
diary n.日记；日记簿
equivalent adj.相等的；相同的；等效的
somewhat adv.稍微，有点
overthrow n.推翻；打倒
courage n.勇气，无畏，胆量
bag n.袋子；手提包
orientation n.方向；目标；（个人的）取向；迎新会
limitation n.限制；限定规定；局限性
resilient adj.有适应力的；有弹性的
engine n.发动机，引擎；工具，手段
electronic adj.电子（器件）的
estate n.庄园；财产，遗产；住宅区；工业区；（real-estate）房地产
bank n.银行；岸；河畔；库
majesty n.雄伟壮观；威严；王权
associate v.联想，联系；与…交往
scenery n.风景，景色；舞台布景
aspire v.向往，渴望
switch v.改变，转变；对调；调班
phase n.时期；阶段
count v.数数；计算；把…包括在内；看作
recover v.恢复；重新获得；找回；收回
cure v.治愈；解决；矫正
mission n.任务，使命；使团
lantern n.提灯；灯笼
Christ n.基督
soft adj.柔软的；不强烈的
disturb v.打扰，干扰；使焦虑；弄乱
revolt n.反抗；叛乱；抵制
canoe n.独木舟
inference n.推理；推断的结论
opposite adj.对面的，另一边的；相反的
submarine n.潜水艇
pump n.泵；抽水机；打气筒
ponder v.沉思；琢磨；考虑
fixture n.固定装置；体育活动
junk n.垃圾；无用的东西
comedy n.喜剧；滑稽
persist v.坚持，执意；继续存在
indoor adj.户内的，室内的
evade v.逃脱；逃避；回避
herb n.药草；草本植物
erect v.建造；搭起；设立
puppet n.木偶；傀儡
fond adj.喜爱的；深情的；美好的；痴想的
wax n.蜡；耳垢
energy n.活力；能源；能量；精力
stand v.站立，直立；忍受；位于；维持不变
prolong v.延长；拖长
quote v.引用；摘引；报（价）；举例说明
ore n.矿石，矿砂
situation n.情况，形势；地理位置；环境特点
this det.这，这个
hurry n.匆忙，急忙
sacred adj.神圣的；宗教的；受尊重的
cosmic adj.宇宙的；巨大且重要的
sorrow n.悲伤，痛苦
feature n.特征；专题节目；五官；（电影的）正片
explode v.爆炸；突然迸发（感情）；突然发生；激增
satire n.讽刺（作品）
luxury n.奢侈（品）；难得的享受
tree n.树，树木
quarrel n.口角，争吵；抱怨（或不赞成）的理由
voyage n.航行；航海；航天
ridiculous adj.荒谬的，可笑的
chop n.砍，劈，剁；猪排，羊排
lately adv.最近，近来
guideline n.指导方针，准则；参考
foul adj.肮脏恶臭的；很令人不快的；邪恶的
ordinary adj.普通的，一般的，平凡的
portray v.描绘；表现；扮演（角色）
champion n.冠军；拥护者
worldwide adv.在全世界，在世界各地
respect n.尊敬；重视，尊重；方面
fearful adj.可怕的，吓人的；担忧的
but conj.但是；尽管如此；相反；除…外
doubt n.疑问；不相信
